,0
0,Media audio
1, breathes smacks lips well I m taking a class breathes 
2, mor co well pro sub I aux be S part take PRESP det art a n class 
3, gra COM SU J UX ROOT DET O J PUNCT
4, in 
5, mor adv in 
6, gra INCROOT PUNCT
7, um physical anthropology 
8, mor adj physical n anthropology 
9, gra MOD INCROOT PUNCT
10, smacks lips I applied here s the whole story 
11, mor pro sub I v apply P ST pro exist here cop be S det art the
12, adj whole n story 
13, gra SU J ROOT SU J COMP DET MOD PRED
14, PUNCT
15, this is breathes uh first let me give you the whole rundown of
16, why I didn t call you earlier breathes 
17, mor pro dem this cop be S adv first v let ZERO pro obj me v give
18, pro per you det art the n whole n rundown prep of adv int why
19, pro sub I mod do P ST neg not v call pro per you adj early CP 
20, gra SU J ROOT JCT PRED O J COMP O J 
21, DET MOD O J NJCT LINK SU J
22, UX NEG CPO J SU J JCT PUNCT
23, channel noise blowing nose 
24, in case your 
25, mor prep in n case det poss your 
26, gra INCROOT MOD PO J PUNCT
27, family didn t tell me breathes 
28, mor n family mod do P ST neg not v tell pro obj me 
29, gra SU J UX NEG ROOT O J PUNCT
30, barks hm breathes 
31, breathes I I didn t have your phone number 
32, mor pro sub I pro sub I mod do P ST neg not v have det poss your
33, n phone v number 
34, gra SU J SU J UX NEG ROOT MOD SU J
35, COMP PUNCT
36, oh so that s silly laughs 
37, mor co oh co so pro dem that cop be S adj silly 
38, gra COM COM SU J ROOT PRED PUNCT
39, yeah channel noise 
40, mor co yeah 
41, gra INCROOT PUNCT
42, how did you get it 
43, mor adv int how mod do P ST pro per you v get pro per it 
44, gra LINK UX SU J ROOT O J PUNCT
45, well I called your family 
46, mor co well pro sub I v call P ST det poss your n family 
47, gra COM SU J ROOT MOD O J PUNCT
48, oh 
49, mor co oh 
50, gra INCROOT PUNCT
51, and then 
52, mor coord and adv tem then 
53, gra LINK INCROOT PUNCT
54, they have it 
55, mor pro sub they v have pro per it 
56, gra SU J ROOT O J PUNCT
57, breathes channel noise 
58, laughs 
59, and then they had it breathes 
60, mor coord and adv tem then pro sub they v have P ST pro per it 
61, gra LINK JCT SU J ROOT O J PUNCT
62, channel noise yeah 
63, mor co yeah 
64, gra INCROOT PUNCT
65, and then 
66, mor coord and adv tem then 
67, gra LINK INCROOT PUNCT
68, mhm 
69, mor co yes 
70, gra INCROOT PUNCT
71, en s 
72, mor n prop en poss s 
73, gra INCROOT POSS PUNCT
74, breathes 
75, uh father and sister came for a few days 
76, mor n father coord and n sister v come P ST prep for det art a qn few
77, n day PL 
78, gra SU J CONJ COORD ROOT JCT DET QU NT
79, PO J PUNCT
80, uh 
81, mhm 
82, mor co yes 
83, gra INCROOT PUNCT
84, um 
85, and 
86, mor coord and 
87, gra INCROOT PUNCT
88, so I couldn t really stay up late and call and I couldn t 
89, mor co so pro sub I mod could neg not adv real dadj LY cop stay adv up
90, adj late coord and n call coord and pro sub I mod could neg not 
91, gra COM SU J UX NEG JCT ROOT JCT PRED
92, CONJ COORD LINK SU J UX NEG
93, PUNCT
94, get up early and call 
95, mor v get adv up adj early coord and n call 
96, gra ROOT JCT JCT CONJ COORD PUNCT
97, mhm mhm 
98, mor co yes co yes 
99, gra COM INCROOT PUNCT
100, and there wasn t 
101, mor coord and adv there cop be P ST S neg not 
102, gra LINK SU J ROOT NEG PUNCT
103, you have to entertain and breathes 
104, mor pro per you v have inf to v entertain coord and 
105, gra SU J ROOT INF COMP CONJ PUNCT
106, channel noise 
107, you know Rachel is like being on the couch downstairs and 
108, mor pro per you v know n prop Rachel cop be S co like
109, n gerund be PRESP prep on det art the n couch adv downstairs
110, coord and 
111, gra SU J ROOT SU J COMP COM PRED JCT
112, DET PO J JCT COORD PUNCT
113, lipsmacks 
114, mm laughs 
115, so 
116, mor co so 
117, gra INCROOT PUNCT
118, and then previous word spoken with a laugh and then I couldn t
119, find your number 
120, mor coord and adv tem then coord and adv tem then pro sub I
121, mod could neg not v find det poss your v number 
122, gra LINK JCT LINK JCT SU J UX NEG ROOT
123, MOD COMP PUNCT
124, laughs 
125, breathes and then this whole thing with the classes happened and
126, let me c and then I couldn t get up in the morning because I knew
127, that you were on 
128, mor coord and adv tem then pro dem this adj whole n thing prep with
129, det art the n class PL v happen P ST coord and v let ZERO pro obj me
130, coord and adv tem then pro sub I mod could neg not v get adv up
131, prep in det art the n morning conj because pro sub I v know P ST
132, pro rel that pro per you cop be P ST prep on 
133, gra LINK JCT DET MOD SU J NJCT DET PO J
134, ROOT CONJ COORD O J CONJ JCT
135, SU J UX NEG COORD JCT JCT
136, DET PO J LINK SU J CJCT LINK
137, SU J COMP JCT PUNCT
138, doing classes and stuff and like you would get up and go to work in
139, the morning so I couldn t call you 
140, mor part do PRESP n class PL coord and n stuff coord and co like
141, pro per you mod will COND v get adv up coord and v go inf to v work
142, prep in det art the n morning co so pro sub I mod could neg not
143, v call pro per you 
144, gra XJCT O J CONJ COORD CONJ COM SU J
145, UX COORD JCT CONJ COORD INF
146, COMP JCT DET PO J COM SU J
147, UX NEG ROOT O J PUNCT
148, at night I would have to get up early and call you and I just
149, couldn t get up last three words spoken with a laugh 
150, mor prep at n night pro sub I mod will COND v have inf to v get adv up
151, adv early coord and v call pro per you coord and pro sub I adv just
152, mod could neg not v get adv up 
153, gra JCT PO J SU J UX SU J INF COMP
154, JCT JCT CONJ COORD O J LINK
155, SU J JCT UX NEG ROOT JCT
156, PUNCT
157, laughs 
158, breathes 
159, laughs 
160, and then that whole thing in the class like I applied for the
161, graduate level 
162, mor coord and adv tem then pro dem that adj whole n thing prep in
163, det art the n class co like pro sub I v apply P ST prep for
164, det art the adj graduate n level 
165, gra LINK JCT DET MOD JCT NJCT DET
166, PO J COM SU J ROOT JCT DET MOD
167, PO J PUNCT
168, xxx 
169, uhhuh 
170, mor co uhhuh 
171, gra INCROOT PUNCT
172, right and I went and I talked to them and I said xxx you know like
173, what 
174, mor adv right coord and pro sub I v go P ST coord and pro sub I
175, v talk P ST prep to pro obj them coord and pro sub I v say P ST
176, pro per you v know prep like pro int what 
177, gra JCT LINK SU J ROOT LINK SU J CJCT
178, JCT PO J LINK SU J CJCT SU J
179, COMP JCT PO J PUNCT
180, what are you looking for breathes and they said basically what
181, we re looking for is that you don t embarrass us 
182, mor pro int what aux be PRES pro per you part look PRESP prep for
183, coord and pro sub they v say P ST adv basic dadj L LY pro int what
184, pro sub we aux be PRES part look PRESP prep for cop be S
185, pro rel that pro per you mod do neg not v embarrass pro obj us 
186, gra LINK UX SU J ROOT JCT LINK SU J
187, CPO J JCT LINK SU J UX CPO J
188, JCT PO J LINK SU J UX NEG
189, CMOD O J PUNCT
190, you know 
191, mor pro per you v know 
192, gra SU J ROOT PUNCT
193, you don t embarrass us 
194, mor pro per you mod do neg not v embarrass pro obj us 
195, gra SU J UX NEG ROOT O J PUNCT
196, right so I was like 
197, mor adv right conj so pro sub I cop be P ST S prep like 
198, gra JCT LINK SU J ROOT JCT PUNCT
199, what the hell who were you talking to who were you talking to 
200, mor pro int what det art the n hell pro rel who cop be P ST pro per you
201, part talk PRESP prep to pro rel who cop be P ST pro per you
202, part talk PRESP prep to 
203, gra INCROOT DET O J LINK CMOD PRED XMOD
204, JCT LINK PO J PRED XMOD JCT
205, PUNCT
206, okay 
207, mor co okay 
208, gra INCROOT PUNCT
209, eh to the it s like the college of general studies 
210, mor prep to det art the pro per it cop be S conj like det art the
211, n college prep of n general n study PL 
212, gra INCROOT DET PO J CPO J PRED DET O J
213, NJCT MOD PO J PUNCT
214, uhhuh 
215, mor co uhhuh 
216, gra INCROOT PUNCT
217, it s like sort of the night school and they have this program where
218, you can take four 
219, mor pro per it cop be S conj like n sort prep of det art the n night
220, n school coord and pro sub they v have pro dem this n program
221, pro rel where pro per you mod can v take det num four 
222, gra SU J ROOT CONJ COORD NJCT DET MOD
223, PO J LINK SU J CJCT DET O J
224, LINK SU J UX CMOD O J PUNCT
225, graduate courses 
226, mor n graduate n course PL 
227, gra MOD INCROOT PUNCT
228, uhhuh 
229, mor co uhhuh 
230, gra INCROOT PUNCT
231, and pay like the reduced price in my case I don t pay anything
232, because 
233, mor coord and v pay prep like det art the part reduce P STP n price
234, prep in det poss my n case pro sub I mod do neg not v pay
235, pro indef anything conj because 
236, gra LINK ROOT JCT DET XJCT O J JCT MOD
237, PO J SU J UX NEG PO J O J JCT
238, PUNCT
239, mhm 
240, mor co yes 
241, gra INCROOT PUNCT
242, of the benefits breathes 
243, mor prep of det art the n benefit PL 
244, gra INCROOT DET PO J PUNCT
245, and um and then if you enroll in the program it s there 
246, mor coord and coord and adv tem then conj if pro per you v enroll
247, prep in det art the n program pro per it cop be S adv there 
248, gra LINK LINK JCT LINK SU J CJCT JCT
249, DET PO J SU J ROOT JCT PUNCT
250, so you know and it s like 
251, mor co so pro per you v know coord and pro per it aux be S co like 
252, gra COM SU J ROOT LINK SU J COMP COM
253, PUNCT
254, I I it can I it serves for graduate school as like a stepping
255, stone to get into the program 
256, mor pro per it mod can pro per it v serve S prep for n graduate
