,0
0,I just got back from the gym 
1, oh good 
2, uhhuh 
3, How s it going 
4, oh pretty well 
5, It was really crowded today 
6, yeah 
7, I kind of assumed everyone would be at the shore 
8, uhhuh 
9, I was wrong 
10, Well it s the middle of the week or whatever so 
11, ut it s the fourth of July 
12, mm 
13, So 
14, yeah 
15, People have to work tomorrow 
16, Do you have to work tomorrow 
17, yeah 
18, Did you have off yesterday 
19, Yes 
20, oh that s good 
21, nd I was paid too 
22, oh 
23, Is it paid today 
24, No 
25, oh 
26, ut uh 
27, yeah so the gym s going well 
28, oh 
29, ut I still need to go more often 
30, Well how often are you going 
31, Only four days a week 
32, xxx 
33, yeah 
34, Got to get that up to five 
35, mm 
36, ut I don t really like going with nne Marie because she doesn t
37, like to stay very long 
38, Why 
39, I don t know 
40, She kind of well unfortunately for some reason she s not like into
41, cardio vascular 
42, So when I m still riding the bike she s completely finished her
43, weight lifting e routine 
44, mhm 
45, nd like I haven t even started mine 
46, mhm 
47, You know and I kind of hinted to her that really the only way to
48, lose weight is cardio vascular 
49, mhm 
50, It s true 
51, nd that lifting the weights won t lose weight 
52, mm mm 
53, You won t lose it you know but 
54, No I mean you might lose some but that s only when yo breath 
55, For a woman who is lifting not that much I don t think 
56, yeah 
57, You would 
58, I mean yeah I mean the only thing is um just getting your heart
59, rate up for extended periods of time 
60, yeah So I don t know maybe she ll catch on soon 
61, You do burn a lot of calories an hour though lifting weights 
62, uhhuh 
63, ut uh yeah I mean you re not going to I don t think you re going
64, to lose that much 
65, n and also lifting weights at ally s means you re standing on
66, line as for as much time as you re actually lifting 
67, Really 
68, yeah 
69, That s too bad 
70, yeah 
71, So it s is it really overcrowded 
72, Well I mean obviously since I work I can t get there until about
73, six o clock at night which is when everyone else gets there 
74, mhm 
75, mhm 
76, ut I me I m sure for people who go in the daytime it s probably
77, dead 
78, yeah 
79, You know and I go um like when I go Saturday and Sunday mornings
80, it s totally dead 
81, mhm 
82, So 
83, ut you know 
84, the weeknights is pretty crazy 
85, yeah 
86, com chainsaw in background
87, yeah 
88, I found a gym yesterday here that s only eight pounds a month which
89, is like twelve dollars twelve fifty 
90, oh yeah 
91, Wow 
92, yeah 
93, It s at the hospital nearby 
94, Well that s a deal 
95, yeah 
96, yeah 
97, So 
98, uhhuh 
99, breath I think um tonight Charlie and I are going to go over and
100, join up breath 
101, Even Charlie s going to join 
102, No but it has to be debited from a bank account so it s got to be
103, debited from his laughs 
104, yeah 
105, gasps 
106, In your letter you said that he eats constantly 
107, oh my god 
108, Really 
109, lice I ve never seen anybody eat as much as he does and he s so
110, skinny 
111, mhm 
112, I mean 
113, the amount of cereal he eats like between meals and after meals 
114, yeah 
115, and we go through a box of cereal every two days 
116, Really 
117, yeah 
118, Wow 
119, He eats at least like four of cereal a day like in addition to like
120, meals 
121, uhhuh 
122, nd when he goes to work he brings four sandwiches with him 
123, uhhuh 
124, a bag of potato chips 
125, uhhuh 
126, um and you know and then little sweetie things 
127, laughs 
128, chocolates and cakies and stuff like that 
129, uhhuh 
130, nd then you know before he leaves every morning he has like two
131, fried eggs 
132, mhm 
133, on toast with cheese 
134, um laughs 
135, vegetarian sausages 
136, laughs 
137, um and like like fruit and oh my god it s just crazy 
138, mhm 
139, It s crazy how much he eats 
140, He was probably starving when he was here 
141, yeah 
142, I think what we got to do is just when he comes just have lots of
143, cereal 
144, laugh 
145, He likes Cocoa Pops 
146, oh boy 
147, laughs 
148, Wow 
149, That s pretty crazy 
150, yeah 
151, It s all about being a blue collar man 
152, I guess so 
153, They re the ones who can eat all day 
154, Really 
155, Well I mean he does work his ass off so 
156, yeah 
157, ut uh 
158, com car or bus in background
159, hm 
160, hm 
161, So I I assume it s hard for you not to eat as much as he does 
162, laughs 
163, No 
164, I learned quick fast in a hurry because I ve gained so much weight 
165, 
