,0
0,Media audio
1, I don not only do have a stomach I have lots of other new body
2, parts 
3, mor pro sub I neg not adv only v do v have det art a n stomach
4, pro sub I v have n lot PL prep of qn other adj new n body n part PL
5, 
6, gra SU J NEG JCT ROOT O J DET O J SU J
7, CMOD O J NJCT QU NT MOD MOD
8, PO J PUNCT
9, uhhuh 
10, mor co uhhuh 
11, gra INCROOT PUNCT
12, ah so you must like it laughs 
13, mor co so pro per you mod must v like pro per it 
14, gra COM SU J UX ROOT O J PUNCT
15, coughs 
16, laughs what 
17, mor pro int what 
18, gra INCROOT PUNCT
19, inhales 
20, and uh I have a big fat tush 
21, mor coord and pro sub I v have det art a adj big n fat n tush 
22, gra LINK SU J ROOT DET MOD MOD O J
23, PUNCT
24, really 
25, mor adv real dadj LY 
26, gra INCROOT PUNCT
27, mhm 
28, mor co yes 
29, gra INCROOT PUNCT
30, oh 
31, mor co oh 
32, gra INCROOT PUNCT
33, when I xxx to Divora she goes that means you re having a girl 
34, mor conj when pro sub I prep to n prop Divora pro sub she v go S
35, pro rel that v mean S pro per you aux be PRES part have PRESP
36, det art a n girl 
37, gra LINK JCT NJCT PO J SU J ROOT LINK
38, COMP SU J UX COMP DET O J
39, PUNCT
40, really if y why if you if you get all ov if you get wide all
41, over 
42, mor adv real dadj LY conj if adv int why conj if pro per you conj if
43, pro per you v get qn all conj if pro per you v get adj wide adv all
44, adv over 
45, gra INCROOT CONJ COORD LINK SU J LINK SU J
46, CJCT QU NT LINK SU J CJCT PRED
47, JCT JCT PUNCT
48, if you get fat all over besides your tush tha I mean besides your
49, stomach inhales 
50, mor conj if pro per you v get n fat adv all adv over prep besides
51, det poss your n tush pro sub I v mean prep besides det poss your
52, n stomach 
53, gra LINK SU J CJCT O J JCT JCT JCT MOD
54, PO J SU J ROOT JCT MOD PO J
55, PUNCT
56, uhhuh 
57, mor co uhhuh 
58, gra INCROOT PUNCT
59, uhhuh 
60, mor co uhhuh 
61, gra INCROOT PUNCT
62, uhhuh 
63, mor co uhhuh 
64, gra INCROOT PUNCT
65, well I don t believe those things because they never work 
66, mor co well pro sub I mod do neg not v believe pro dem those n thing PL
67, conj because pro sub they adv never n work 
68, gra COM SU J UX NEG ROOT DET O J LINK
69, SU J JCT CJCT PUNCT
70, xxx inhales 
71, nah don t bel don t believe it 
72, mor co nah mod do neg not mod do neg not v believe pro per it 
73, gra SU J UX NEG UX NEG ROOT O J PUNCT
74, I don t belie 
75, mor pro sub I mod do neg not 
76, gra INCROOT UX NEG PUNCT
77, don t believe it 
78, mor mod do neg not v believe pro per it 
79, gra UX NEG ROOT O J PUNCT
80, I don t believe it at all I mean I don t kno maybe I ll have a
81, girl but that does it s not because my tush is fat 
82, mor pro sub I mod do neg not v believe pro per it prep at pro indef all
