,0
0,xxx I m doing good I was going to Susan s back and forth and my
1, sister s back and forth so 
2, yeah 
3, Susan s away this week so I might I m going to my sister s tomorrow
4, she needs a babysitter on Thursday 
5, com line noise 
6, yeah 
7, so I m going tomorrow but I I feel like I m xxx distortion 
8, I thought she was going away for vacation this week 
9, she s away now 
10, oh she s away now 
11, but she s coming back tonight distortion noise 
12, yeah 
13, yeah so um I feel like this always happens when I get towards the
14, end breath and I have this list of things to get 
15, com background voice 
16, you know like George he has a little list and I have to bring for
17, him and his wife and his kids and I have to bring for 
18, oh for f to bring back she gives you the list I wouldn t bring her
19, back anything 
20, distortion yeah she gives me distortion oh my god she said did
21, I tell you about thi the episode before I left 
22, yeah you told me 
23, oh she s such a shit well I just can t you know you have to pretend
24, sometimes I bought her just a cute little like breath 
25, uh makeup type of case you know if you have to go away you put a
26, little makeup and sanitary pad and then I said to myself oh my god
27, maybe she doesn t have her period anymore breath 
28, oh 
29, com line noise 
30, she s like almost fifty 
31, breath 
32, laughing breath 
33, this ll be a funny conversation to listen to 
34, yes distortion and a little perfume inside of it I can t go and
35, give everyone stuff and not her you know I am not going to 
36, break off my relationship with him because of her 
37, so are you still doing shopping around everyday 
38, com line noise 
39, I still have to get Menash his sneakers I didn t 
40, get them yet and I ve to get stuff at the Wiz for Menash for m m 
41, George 
42, at the Wiz 
43, yeah he wants some stuff for his video camera 
44, oh 
45, he gave me such a list and including sneakers for him and her I I
46, can t bring the sneakers back breath 
47, because I m going I don t want to take an extra suitcase with me I
48, got to pay ninety dollars for an extra suitcase 
49, yeah 
50, com line noise 
51, and George said no I want some back and I bought two extras and
52, they just let me go 
53, rattling 
54, well I can t take that chance they might not let me what am I going
55, to do 
56, the baby uh is not allowed a suitcase right 
57, com line noise 
58, no nothing distortion not even a carry on 
59, so um I distortion 
60, com line noise 
61, what do you come with one suitcase 
62, com line noise 
63, no I was an idiot I came with two 
64, two distortion yeah 
65, but I came with a regular one and a regular one inside of a big one
66, 
67, so what I m going to do is I m going to leave the small one s here
68, 
69, and 
70, and take my mother s big one so I have two big ones 
71, that s a good idea 
72, com line noise 
73, because they really see I m doing a Michelle I m getting smart 
74, rattling yeah 
75, xxx Michelle s very you know practical breath 
76, um tho the 
77, the other thing is instead of taking one of your mother s if she
78, doesn t you know want to relinquish it or whatever 
79, com line noise 
80, she doesn t care she ll get it back 
81, you buy you go the supermarket and you get a Pampers 
82, oh distorted 
83, breath carton 
84, right 
85, and you just load it up and then you just throw the carton away 
86, yeah that s true no she doesn t care I m leaving her mine breath
87, 
88, and she s giving me this one doesn t I don t doesn t matter for me
89, 
90, yeah I told Shera too I says if you need things why don t you start
91, shopping around don t wait til the last minute 
92, oh my god no she can t because she s got kids and I m going with
93, the baby all the time and you ve got to do things really fast 
94, com echo distortion 
95, she schlepped today she says she was going out of her mind you know
96, look 
97, xxx 
98, for stuff xxx 
99, well your mother wasn t with her she xxx distortion 
100, breath my mother had like a luncheon today and she was meeting a
101, friend so she s 
102, so she went with the three kids 
103, no no Daniel was in a little day camp so she took 
104, oh 
105, Tamara and the baby 
106, distortion really they put them in a day camp 
107, com line noise 
108, yeah they re both going to a little camp I mean they re bored every
109, day just going to the beach you know 
110, com line noise 
111, distortion that s good well good yeah sure that s fun 
112, com line noise 
113, breath so Tamara goes three days a week 
114, oh it s really hard distorted like Susan was taking me and
115, she s with her kids you just got to know what you re going for
116, breath 
117, and do it fast and I get crazy because I say oh look at the
118, dahdahdah b 
119, breath and I start looking and I want to try on and I and and you
120, know I start seeing seeing things and breath 
121, my father s good you know he s taking me we went to Cross County
122, shopping center in the morning uh 
123, com distortion echo of other channel perhaps 
124, y well don t they have ads there in the Sunday paper of
125, distortion stuff on sale 
126, yeah Caldor s you re not even going to believe what I bought in I
127, don t do you have Woolworth s 
128, com channel echo 
129, Woolworth s there s 
130, yeah 
131, not too many left around here 
132, we have two in in uh in uh in in uh we have a few around
133, breath 
134, and I always wanted this a jean jacket you know a real rugged you
135, know a regular guy s jean jacket 
136, yeah 
137, and in Israel they re pretty expensive and I saw here they were
138, like sixty eighty breath 
139, we re in Woolworth s and they have these distortion beautiful
140, jean jackets for twenty dollars breath 
141, so I bought one it s pretty funny getting clothes in Woolworth s
142, because they re like you know five and dime stores 
143, y yeah 
144, you know cheapie but it s they re they re it s it s beautiful it s
145, made in Italy 
146, it s really nice 
147, good 
148, and uh I want to go back there with my father because they have
149, nice books and cardboard books with like cheap two for five you know
150, mark down stuff English 
151, ye 
152, books 
153, oh sure 
154, um 
155, because this kid s learning English so quickly 
156, the 
157, com line noise 
158, did your brother uh bring uh 
159, distortion I can t stop 
160, com background voice 
161, xxx give you the money or he s going to pay you back when you go
162, there 
163, he said no he said let Mommy see it she ll lay it out and I ll give
164, it back to her when she comes my mother s like yeah right my foot 
165, 
166, oh Jesus 
167, and and my father s like you mean your he didn t give you money he
168, didn t give you money he s almost fifty years old you re still
169, buying breath 
170, my mother didn t want to say no she 
171, when is your distortion 
172, says that he s going to like pay back some of the stuff 
173, when is your mother going to come visit 
174, well distortion she wants to come in October 
175, yeah 
176, but if my father doesn t want to come or if he has weddings he s
177, not going to leave he gets like a wedding or two he ll he won t go 
178, 
179, yeah 
180, and then my mother will not want to leave him which is the r same
181, reason she didn t want to go to Virginia 
182, she didn t want she wouldn t leave him f for a month or three
183, weeks 
184, but is he feeling okay 
185, yeah he s feeling okay he had a little episode before Virginia you
186, know but um 
187, so c it might not even have been from that he felt dizziness 
188, and maybe it was because of the was the heat or something
189, distortion 
190, maybe the heat it s so God damn hot here you could plutz
191, distortion 
192, felt a little funny he felt a little funny in the chest but that
